Red,Green,Blue,Gray,Index,Intensity,Temperature,Depth
255,9,29,9,4,85,4.5129,2
254,3,48,3,28,83,26.19,0.75
251,0,191,0,6,97,6.3194,3
254,2,211,2,15,101,14.448,2.25
255,3,254,3,15,107,14.448,2
255,6,150,6,13,97,12.642,0.75
254,0,131,0,26,91,24.384,3
255,8,16,8,20,83,18.965,2.25
255,7,25,7,24,83,22.577,2
254,2,49,2,11,83,10.835,0.75
249,0,194,0,15,97,14.448,3
255,4,213,4,15,103,14.448,2.25
255,2,255,2,15,106,14.448,2
255,4,149,4,13,96,12.642,0.75
254,0,131,0,26,91,24.384,3
252,11,17,11,14,84,13.545,2.25
255,6,26,6,24,83,22.577,2
254,3,48,3,22,83,20.771,0.75
249,0,192,0,15,96,14.448,3
254,5,213,5,15,103,14.448,2.25
254,3,255,3,15,107,14.448,2
255,6,155,6,6,97,6.3194,0.75
253,0,130,0,26,90,24.384,3
254,11,17,11,7,84,7.2226,2.25
255,8,26,8,24,84,22.577,2
255,2,52,2,12,83,11.739,0.75
251,0,189,0,6,97,6.3194,3
252,0,207,0,15,99,14.448,2.25
254,1,255,1,15,106,14.448,2
254,5,147,5,13,96,12.642,0.75
254,0,125,0,27,90,25.287,3
250,7,13,7,10,80,9.9323,2.25
255,7,25,7,24,83,22.577,2
255,2,46,2,23,83,21.674,0.75
249,0,192,0,6,96,6.3194,3
254,4,215,4,15,103,14.448,2.25
255,2,254,2,15,106,14.448,2
254,7,140,7,13,96,12.642,0.75
253,0,130,0,26,90,24.384,3
248,1,9,1,20,76,18.965,2.25
254,5,25,5,24,82,22.577,2
253,0,45,0,22,81,20.771,0.75
252,0,203,0,15,98,14.448,3
254,4,215,4,15,103,14.448,2.25
255,2,255,2,15,106,14.448,2
254,5,151,5,13,96,12.642,0.75
253,0,128,0,26,90,24.384,3
246,3,7,3,29,76,27.094,2.25
255,6,26,6,24,83,22.577,2
254,3,46,3,12,83,11.739,0.75
252,0,192,0,15,97,14.448,3
254,1,213,1,15,101,14.448,2.25
255,2,253,2,15,106,14.448,2
255,7,154,7,6,98,6.3194,0.75
253,0,128,0,26,90,24.384,3
255,10,15,10,14,84,13.545,2.25
254,5,27,5,25,82,23.481,2
254,0,46,0,12,81,11.739,0.75
252,0,202,0,14,98,13.545,3
252,2,214,2,14,101,13.545,2.25
255,0,255,0,14,105,13.545,2
254,5,151,5,13,96,12.642,0.75
253,0,135,0,13,91,12.642,3
251,5,10,5,19,79,18.061,2.25
255,5,33,5,4,83,4.5129,2
255,0,48,0,22,82,20.771,0.75
254,0,204,0,14,99,13.545,3
254,4,216,4,14,103,13.545,2.25
255,0,255,0,14,105,13.545,2
255,8,154,8,13,98,12.642,0.75
252,0,123,0,26,89,24.384,3
247,4,8,4,19,77,18.061,2.25
255,3,31,3,4,82,4.5129,2
255,0,50,0,12,82,11.739,0.75
254,0,197,0,15,98,14.448,3
255,5,217,5,15,104,14.448,2.25
254,3,254,3,15,107,14.448,2
254,5,149,5,13,96,12.642,0.75
254,0,127,0,26,90,24.384,3
251,5,10,5,18,79,17.158,2.25
253,3,30,3,4,81,4.5129,2
255,0,47,0,12,82,11.739,0.75
254,0,208,0,15,100,14.448,3
252,1,218,1,15,101,14.448,2.25
255,1,255,1,15,106,14.448,2
255,6,153,6,13,97,12.642,0.75
252,0,131,0,27,90,25.287,3
250,4,9,4,30,78,27.997,2.25
254,2,23,2,24,80,22.577,2
255,1,51,1,12,83,11.739,0.75
255,0,211,0,15,100,14.448,3
251,0,217,0,15,100,14.448,2.25
255,2,251,2,15,106,14.448,2
253,5,151,5,13,96,12.642,0.75
253,0,135,0,13,91,12.642,3
247,1,6,1,29,75,27.094,2.25
255,4,25,4,25,81,23.481,2
255,2,46,2,12,83,11.739,0.75
255,0,204,0,17,99,16.255,3
254,4,224,4,17,104,16.255,2.25
255,2,255,2,17,106,16.255,2
255,7,141,7,13,96,12.642,0.75
253,0,130,0,26,90,24.384,3
249,3,8,3,28,77,26.19,2.25
255,3,24,3,24,81,22.577,2
255,1,51,1,12,83,11.739,0.75
255,0,211,0,17,100,16.255,3
253,1,222,1,6,102,6.3194,2.25
255,0,255,0,17,105,16.255,2
254,5,147,5,13,96,12.642,0.75
253,0,132,0,26,91,24.384,3
249,6,10,6,18,79,17.158,2.25
255,3,31,3,4,82,4.5129,2
255,0,50,0,12,82,11.739,0.75
251,0,206,0,16,99,15.352,3
254,4,224,4,16,104,15.352,2.25
254,1,255,1,16,106,15.352,2
253,4,148,4,12,95,11.739,0.75
253,0,124,0,28,90,26.19,3
253,9,11,9,14,82,13.545,2.25
255,4,29,4,4,82,4.5129,2
255,0,50,0,17,82,16.255,0.75
